Supplier,contact_name,contact_email,website,phone
Coast Music,Isabelle,isabelle.cyr@coastmusic.com,www.coastmusiconline.com,514-457-2555 #2338
Erikson Audio,Cindy,Cindy.McSweeny@eriksonaudio.com,www.eriksonaudio.com,514-457-2555
Erikson Music,Roula,roula.maganas@eriksonmusic.com,eriksonmusiconline.com,514-457-2555
B&J Music,Rene,rene.sita@bjmusic.ca,https://bjmusiconline.com/,514-457-4876
Yorkville Sound,Jocelyn,JBROSSEAU@yorkville.com,yorkville.com/pricelists,905-837-8777 #270
D'Addario Canada,,orders@daddariocanada.com,http://b2b.daddariocanada.com/#/login,905-947-9595
Counterpoint,Kathleen,"kathleen@counterpointmusic.ca, ",www.counterpointmusic.ca,905-415-0515
Fender,Jay Novak,jnovak@fender.com,"https://dealer.fender.com/login
",1-800-488-1818 #5717
Yamaha Canada,Mark Tremblay,mtremblay@yamaha.ca,www.eyamaha.ca,
SF Marketing,Mike Racette,Mike.Racette@sfm.ca,https://www2.sfm.ca/allaccess/,514.780.2075 #2258
Hal Leonard,Maribeth,mbarrons@halleonard.com,,1-888-464-4301 #6303
Sabian,Mary,marys@sabian.com,,
Saga Musical,Lilliana,lilliana@sagamusic.com,www.sagamusic.com,1-800-742-1150
Conn-Selmer,Moeen,moeen@conn-selmer.com,https://oeplus.conn-selmer.com/,
Empire Music,Gwenda or Jessica,gwenda@empire-music.com,http://emusmusic.com/,1-800-663-5979
Audio-Technica,Niko Romberg,nromberg@audio-technica.ca,,
Bosco Violin,Leif,leif@boscoviolinsupply.com,http://www.boscoviolinsupply.com/,519-485-1889
Sennheiser Canada,Justin Auld,"
justin.auld@sennheiser.com",,647-961-7481
Golden Hawk,Gabriel,info@goldenhawkimports.com,,647-680-4295
Vintage,Adam,adamb@jhs.co.uk,,
Fishman,Ray Kopko,rkopko@kiefmarketing.com,,
Cordoba,Paul Gardner,pgardner@fastmail.fm,,905-449-1960
