Vendor,Supplier
"Guitars, Basses & Accessories
.strandberg*",Diffusion Audio
ABM-Mueller,Allparts
Accent,Saga Musical
Ace,Audionova
Airline,Eastwood Guitars
Alhambra,Counterpoint
Allen Cast Tailpieces,Allen Guitars
Allen Custom Guitars,Allen Guitars
Allen Slotted Fretboards,Allen Guitars
Allparts,Allparts
Alpha Potentiometers,Next Gen Musical
Alvarez,SFM
Applause,B&J Music
Aria,Kana Music
Aria Pro II,Kana Music
Art & Lutherie,Godin
Artec,Kana Music
Artist,BRTB
Aspri,Aspri Creative
Augustine Strings,Hal Leonard
Austin,St. Louis Music
Avante by Veillette,Veillette
Avenir Guitars,Stonebridge
Avian,Avian Guitars
AxLabs Guitar Hardware,AP International
B.C. Rich,B.C. Rich
B&G Crossroads,Eastwood Guitars
Backlund,Eastwood Guitars
Bartolini,Kana Music
BeaverCreek,D'Addario Canada
Bedell,Two Old Hippies
Benedetto,Benedetto Guitars
Bill Edwards Guitars,Bill Edwards
Bill Edwards Locking Nuts,Bill Edwards
Bill Edwards Necks,Bill Edwards
Bill Edwards Tremolos,Bill Edwards
Black Diamond,"Black Diamond Strings,
Golden Hawk"
Blueridge Guitars,"Saga Musical)
52 CANADIAN MUSIC TRADE

Boucher"
Bourgeois Guitars,Eastman Music
Breedlove,Two Old Hippies
Bridgeport Guitars,Stonebridge
Bristol,Saga Musical
BSX Basses,BSX Bass
Bullet Cables,Audionova
C.F. Martin,C.F. Martin
Charvel,Fender
ChickenPicks,Blaze Music
Classic,Empire Music
Clayton Picks,Blaze Music
CMC,Chesbro Music
Cole Clark,Korg USA
Conklin Custom Shop,Conklin Guitars
Cordoba,Cordoba Music
Cort,Coast Music
CruzTools,Yorkville Sound
D'Addario,D'Addario Canada
D'Andrea,Audionova
D'Angelico,B&J Music
Dava,D'Addario Canada
Dean Guitars,Armadillo Enterprises
Dean Markley,Launch Music
DeArmond,Cordoba Music
DeMars Guitars,DeMars Guitars
Denver Guitars,Yorkville Sound
Diamond Guitars,Diamond Guitars
DiMarzio,Blaze Music
Dingwall Basses,"Blaze Music, Dingwall"
Dion Guitars,Dion Guitars
Ditson,Coast Music
DMI Guitar Labs,AP International
Don't Fret Enterprises,Counterpoint
Donner,Donner
Dowina,5th Crown
DR,B&J Music
Dragonfly,Dragonfly
Duesenberg,SFM
Dunlop,Coast Music
DVT,"Sherlock Audio)

Eastwood"
EKO,Harris Musical
Eko Guitars,Kelley Distribution
Electroswitch,Next Gen Musical
Elixir,Coast Music
Elrick,Elrick Bass
EMG Pickups,EMG Pickups
Encore,JHS
Epiphone,Yorkville Sound
Ernie Ball Strings & Accessories,"Yorkville
Sound"
Ernie Ball Music Man,Ernie Ball
ESP Guitars,B&J Music
EVH,Fender
F Bass,F Bass
Famous #351,Harris Musical
Fender,Fender
Fiesta,Kana Music
Fishman,Fishman
Floyd Rose,Blaze Music
Framus,Framus & Warwick
Frank Brothers Guitars,Frank Brothers
Fret-King,5th Crown
Furch,Stonebridge
G&L,G&L
G7th,Coast Music
Gabbanelli Bajo Sexto,Gabbanelli
Gallien-Krueger,Yorkville Sound
Gavitt Wire,Next Gen Musical
GHS,Coast Music
Gibson,Yorkville Sound
Gitane Guitars,Saga Musical
Godin,Godin
Godin Acoustic Solutions,Godin
Gotoh,"Geo. Heinl, Next Gen Musical"
Graph Tech,Coast Music
Gravity Picks,"Ace Products, Golden Hawk"
Greasy Groove,Greasy Groove
Gretsch,B&J Music
Groove Guitars,Kana Music
GrooveTech,"Yorkville Sound)

Grover"
Grover Tuning Keys,Allparts Music
Gruv Gear,Gruv Gear
GSM,GSM Guitar
Guild,Cordoba Music
Guitar Doctor,Wyres
Guitar Tech,JHS
Hagstrom,Erikson Music
Hall Guitar Slides,Hall Crystal Flutes
Hammertone,F Bass
Harmony,SFM
Herco,Coast Music
Heritage Guitars,SFM
HexHider,AP International
Highland Guitars,AudioOne Corp.
Hipshot,Next Gen Musical
H�fner,Adam Hall
Hooky Series,Eastwood Guitars
Ibanez,Hoshino USA
Indiana Guitars,Chesbro Music
Jackson,Fender
Jarrell,Jarrell Guitars
Jasmine,B&J Music
Jay Turser,Coast Music
John Pearse,Launch Music
